FEIL: 6564792.700   231223.900       Felt 1, mangler restriksjon
FEIL: 6564540.100   226993.500       Felt 1#2, har restriksjon
FEIL: 6564540.300   226810.900       Felt 1#2, har restriksjon
FEIL: 6564520.300   226504.600       Felt 1#2, har restriksjon
FEIL: 6565394.700   226836.800       Felt 1#2, har restriksjon
FEIL: 6564462.700   226705.900       Felt 1#2, har restriksjon
FEIL: 6564352.700   226828.800       Felt 1#2, har restriksjon
FEIL: 6564296.000   226390.500       Felt 1#2, har restriksjon
FEIL: 6564345.800   226295.980       Felt 1#2, har restriksjon
FEIL: 6564282.200   226991.200       Felt 1#2, har restriksjon
FEIL: 6564132.800   226266.000       Felt 1#2, har restriksjon
FEIL: 6564281.900   226388.400       Felt 1#2, har restriksjon
FEIL: 6564519.600   226604.300       Felt 1#2, har restriksjon
FEIL: 6565345.600   226511.100       Felt 1#2, har restriksjon
FEIL: 6564311.900   232442.100       Felt 1#2, har restriksjon
FEIL: 6564554.100   226909.200       Felt 1#2, har restriksjon
FEIL: 6564358.400   226901.500       Felt 1#2, har restriksjon
FEIL: 6565442.300   225087.500       Felt 1#2, har restriksjon
FEIL: 6564468.600   226778.200       Felt 1#2, har restriksjon
FEIL: 6564698.500   226727.400       Felt 1#2, har restriksjon
FEIL: 6564752.500   226104.400       Felt 1#2, har restriksjon
FEIL: 6564804.600   226114.800       Felt 1#2, har restriksjon
FEIL: 6564529.600   226697.700       Felt 1#2, har restriksjon
FEIL: 6564272.400   226710.800       Felt 1#2, har restriksjon
FEIL: 6564476.500   226890.800       Felt 1#2, har restriksjon
FEIL: 6564784.280   226065.240       Felt 1#2, har restriksjon
FEIL: 6564355.100   226531.600       Felt 1#2, har restriksjon
FEIL: 6564132.800   226266.000       Felt 1#2, har restriksjon
FEIL: 6564352.700   226828.800       Felt 1#2, har restriksjon
FEIL: 6565411.800   226108.000       Felt 1#2, har restriksjon
FEIL: 6564370.600   226740.600       Felt 1#2, har restriksjon
FEIL: 6565324.200   226773.800       Felt 1#2, har restriksjon
FEIL: 6567066.560   224601.770       Felt 1#2, har restriksjon
FEIL: 6565081.650   225638.750       Felt 1#2, har restriksjon
FEIL: 6564361.000   226929.200       Felt 1#2, har restriksjon
FEIL: 6564469.800   226980.400       Felt 1#2, har restriksjon
FEIL: 6564458.600   227057.900       Felt 1#2, har restriksjon
FEIL: 6565352.500   226765.000       Felt 1#2, har restriksjon
FEIL: 6564299.400   227073.100       Felt 1#2, har restriksjon
