FEIL: 6556638.400   214911.500       Felt 2, mangler restriksjon
FEIL: 6556703.900   214952.400       Felt 2, mangler restriksjon
FEIL: 6556741.300   214927.700       Felt 1, mangler restriksjon
FEIL: 6556493.300   214064.400       Felt 1#2, har restriksjon
FEIL: 6556302.300   215495.100       Felt 1#2, har restriksjon
FEIL: 6550554.900   214966.400       Felt 1#2, har restriksjon
FEIL: 6555950.500   215655.800       Felt 1#2, har restriksjon
FEIL: 6556819.900   216046.800       Felt 1#2, har restriksjon
FEIL: 6557597.600   214817.300       Felt 1#2, har restriksjon
FEIL: 6557739.100   215484.500       Felt 1#2, har restriksjon
FEIL: 6556157.100   214258.900       Felt 1#2, har restriksjon
FEIL: 6555564.600   216714.600       Felt 1#2, har restriksjon
FEIL: 6556226.700   214218.700       Felt 1#2, har restriksjon
FEIL: 6550395.100   215190.700       Felt 1#2, har restriksjon
FEIL: 6550334.400   215141.300       Felt 1#2, har restriksjon
FEIL: 6556522.900   214972.400       Felt 1#2, har restriksjon
FEIL: 6555793.200   215726.600       Felt 1#2, har restriksjon
FEIL: 6556525.500   214985.300       Felt 1#2, har restriksjon
FEIL: 6556515.000   214046.000       Felt 1#2, har restriksjon
FEIL: 6556573.300   215032.700       Felt 1#2, har restriksjon
FEIL: 6550369.500   215074.500       Felt 1#2, har restriksjon
FEIL: 6558165.600   216638.600       Felt 1#2, har restriksjon
FEIL: 6557900.800   215583.900       Felt 1#2, har restriksjon
FEIL: 6550371.900   215175.400       Felt 1#2, har restriksjon
FEIL: 6556383.600   214165.900       Felt 1#2, har restriksjon
FEIL: 6550502.600   215175.100       Felt 1#2, har restriksjon
FEIL: 6555787.400   215629.200       Felt 1#2, har restriksjon
FEIL: 6550545.300   215169.000       Felt 1#2, har restriksjon
FEIL: 6556469.200   215035.000       Felt 1#2, har restriksjon
FEIL: 6550470.100   215179.600       Felt 1#2, har restriksjon
FEIL: 6550486.600   214975.600       Felt 1#2, har restriksjon
FEIL: 6555618.900   216664.600       Felt 1#2, har restriksjon
FEIL: 6550369.500   215074.500       Felt 1#2, har restriksjon
FEIL: 6550517.700   214971.500       Felt 1#2, har restriksjon
