FEIL: 6564792.700   231223.900       Felt 1, mangler restriksjon
FEIL: 6565394.700   226836.800       Felt 1#2, har restriksjon
FEIL: 6564352.700   226828.800       Felt 2, restriksjon feil retning
FEIL: 6564345.800   226295.980       Felt 1#2, har restriksjon
FEIL: 6564282.200   226991.200       Felt 1#2, har restriksjon
FEIL: 6564132.800   226266.000       Felt 2, restriksjon feil retning
FEIL: 6564281.900   226388.400       Felt 1#2, har restriksjon
FEIL: 6565345.600   226511.100       Felt 1#2, har restriksjon
FEIL: 6564311.900   232442.100       Felt 1#2, har restriksjon
FEIL: 6565442.300   225087.500       Felt 1#2, har restriksjon
FEIL: 6564272.400   226710.800       Felt 1#2, har restriksjon
FEIL: 6564476.500   226890.800       Felt 2, restriksjon feil retning
FEIL: 6564355.100   226531.600       Felt 1#2, har restriksjon
FEIL: 6564132.800   226266.000       Felt 1#2, har restriksjon
FEIL: 6565411.800   226108.000       Felt 1#2, har restriksjon
FEIL: 6565324.200   226773.800       Felt 1#2, har restriksjon
FEIL: 6567066.560   224601.770       Felt 1#2, har restriksjon
FEIL: 6565081.650   225638.750       Felt 1#2, har restriksjon
FEIL: 6565352.500   226765.000       Felt 1#2, har restriksjon
FEIL: 6564299.400   227073.100       Felt 1#2, har restriksjon
